time,vehicle_id,x,y,speed,lon,lat
61.6,0_55,275.51,4072.25,13.16,9.719974752753545,52.36458936139048
61.7,0_55,276.02,4071.05,13.07,9.719979334161494,52.3645827788801
61.8,0_55,276.54,4069.84,13.12,9.719984005400972,52.36457614151446
61.9,0_55,277.05,4068.63,13.15,9.71998858680892,52.36456950414784
62.0,0_55,277.56,4067.42,13.14,9.71999316821687,52.36456286678021
62.1,0_55,278.07,4066.21,13.07,9.719997749624818,52.36455622941159
62.2,0_55,278.58,4065.01,13.05,9.720002331032768,52.36454964689627
62.3,0_55,279.09,4063.81,13.05,9.720006912440716,52.364543064379966
62.4,0_55,279.6,4062.61,13.08,9.720011493848666,52.36453648186269
62.5,0_55,280.11,4061.4,13.06,9.720016075256616,52.36452984449011
62.6,0_55,280.63,4060.19,13.17,9.720020746496091,52.36452320711652
62.7,0_55,281.14,4058.99,13.1,9.72002532790404,52.364516624596284
62.8,0_55,281.65,4057.78,13.07,9.72002990931199,52.36450998722072
62.9,0_55,282.16,4056.57,13.15,9.72003449071994,52.36450334984415
63.0,0_55,282.67,4055.37,13.09,9.720039072127888,52.364496767320944
63.1,0_55,283.18,4054.16,13.11,9.720043653535837,52.3644901299424
63.2,0_55,283.7,4052.95,13.14,9.720048324775314,52.364483492562854
63.3,0_55,284.21,4051.74,13.15,9.720052906183264,52.3644768551823
63.4,0_55,284.72,4050.53,13.13,9.720057487591212,52.364470217800765
63.5,0_55,285.25,4049.33,13.1,9.720062248662218,52.36446363527262
63.6,0_55,285.93,4048.2,13.15,9.72006835720615,52.3644574367244
63.7,0_55,286.6,4047.08,13.1,9.720074375918555,52.36445129302973
63.8,0_55,287.28,4045.96,13.13,9.720080484462486,52.3644451493342
63.9,0_55,287.95,4044.84,13.04,9.72008650317489,52.36443900563781
64.0,0_55,288.63,4043.71,13.14,9.72009261171882,52.364432807086146
64.1,0_55,289.3,4042.59,13.07,9.720098630431226,52.364426663388045
64.2,0_55,289.98,4041.46,13.17,9.720104738975158,52.36442046483463
64.3,0_55,290.65,4040.34,13.13,9.72011075768756,52.36441432113481
64.4,0_55,291.33,4039.21,13.12,9.720116866231493,52.364408122579675
64.5,0_55,292.01,4038.09,13.14,9.720122974775427,52.36440197887814
64.6,0_55,292.68,4036.96,13.12,9.720128993487828,52.36439578032127
64.7,0_55,293.35,4035.84,13.06,9.720135012200233,52.36438963661802
64.8,0_55,294.03,4034.71,13.17,9.720141120744165,52.36438343805941
64.9,0_55,294.71,4033.59,13.08,9.720147229288095,52.36437729435445
65.0,0_55,295.38,4032.47,13.05,9.7201532480005,52.36437115064863
65.1,0_55,296.05,4031.35,13.11,9.720159266712903,52.364365006941966
65.2,0_55,296.73,4030.23,13.12,9.720165375256835,52.36435886323444
65.3,0_55,297.4,4029.1,13.09,9.720171393969238,52.36435266467151
65.4,0_55,298.08,4027.98,13.1,9.720177502513172,52.36434652096227
65.5,0_55,298.75,4026.86,13.08,9.720183521225575,52.36434037725217
65.6,0_55,299.43,4025.73,13.14,9.720189629769505,52.36433417868666
65.7,0_55,300.11,4024.61,13.15,9.72019573831344,52.36432803497485
65.8,0_55,300.78,4023.48,13.13,9.720201757025842,52.3643218364076
65.9,0_55,301.46,4022.36,13.1,9.720207865569774,52.36431569269407
66.0,0_55,302.13,4021.23,13.1,9.720213884282176,52.364309494125095
66.1,0_55,302.81,4020.11,13.11,9.720219992826111,52.364303350409834
66.2,0_55,303.48,4018.99,13.08,9.720226011538513,52.36429720669374
66.3,0_55,304.16,4017.86,13.14,9.720232120082445,52.364291008122166
